@Jliunsenn,@rmaprldiiprtma,BCC70.vcf,30-05 00:05
@Jliunsenn,@rmaprldiiprtma,BCC71.vcf,30-05 00:05
@Jliunsenn,@rmaprldiiprtma,BCC73.vcf,30-05 00:05
@Jliunsenn,@rmaprldiiprtma,BCC72.vcf,30-05 00:05
@Jliunsenn,@rmaprldiiprtma,BCC74.vcf,30-05 00:05
@Jliunsenn,@rmaprldiiprtma,BCC77.vcf,30-05 00:05
@Jliunsenn,@rmaprldiiprtma,BCC78.vcf,30-05 00:05
pengirim,penerus,nama file,tanggal dan Waktu
@Jliunsenn,@rmaprldiiprtma,BCC68.vcf,30-05 00:05
pengirim,penerus,nama file,tanggal dan Waktu
@Jliunsenn,@rmaprldiiprtma,BCC66.vcf,30-05 00:05
pengirim,penerus,nama file,tanggal dan Waktu
@Jliunsenn,@rmaprldiiprtma,BCC67.vcf,30-05 00:05
pengirim,penerus,nama file,tanggal dan Waktu
@Jliunsenn,@rmaprldiiprtma,BCC69.vcf,30-05 00:05
@Jliunsenn,@rmaprldiiprtma,BCC76.vcf,30-05 00:05
@Jliunsenn,@rmaprldiiprtma,BCC79.vcf,30-05 00:05
@Jliunsenn,@rmaprldiiprtma,BCC75.vcf,30-05 00:05
@Jliunsenn,@rmaprldiiprtma,BCC80.vcf,30-05 00:05
